rank,gid,role,priority_score,why
1,100000003684369100,coordinator,0.9716,"Кандидат на координирующий узел: 24+62 связей, 6 seed в путях, 9 соседних кластеров."
2,100000008603629100,coordinator,0.9597,"Кандидат на координирующий узел: 19+61 связей, 4 seed в путях, 7 соседних кластеров."
3,100000004156082100,coordinator,0.9542,"Кандидат на координирующий узел: 5+26 связей, 4 seed в путях, 3 соседних кластеров."
4,100000000437046100,coordinator,0.9457,"Кандидат на координирующий узел: 9+42 связей, 4 seed в путях, 7 соседних кластеров."
5,100000002957787100,coordinator,0.9372,"Кандидат на координирующий узел: 4+34 связей, 4 seed в путях, 7 соседних кластеров."
6,100000000331309100,distributor,0.9353,"Веерное распределение: 99 получателей, исходящий поток 23,001,375 ₸."
7,100000003115284100,coordinator,0.9294,"Кандидат на координирующий узел: 8+2 связей, 9 seed в путях, 4 соседних кластеров."
8,100000006866783100,distributor,0.9262,"Веерное распределение: 67 получателей, исходящий поток 3,948,037 ₸."
9,100000001857829100,coordinator,0.9247,"Кандидат на координирующий узел: 6+16 связей, 3 seed в путях, 5 соседних кластеров."
10,100000003016635100,distributor,0.9206,"Веерное распределение: 73 получателей, исходящий поток 9,414,081 ₸."
11,100000008346837100,coordinator,0.9136,"Кандидат на координирующий узел: 9+25 связей, 6 seed в путях, 7 соседних кластеров."
12,100000008165763100,coordinator,0.9076,"Кандидат на координирующий узел: 15+17 связей, 6 seed в путях, 7 соседних кластеров."
13,100000008477350100,coordinator,0.9071,"Кандидат на координирующий узел: 11+39 связей, 3 seed в путях, 4 соседних кластеров."
14,100000001937767100,distributor,0.8922,"Веерное распределение: 4 получателей, исходящий поток 1,933,000 ₸."
15,100000008637537100,coordinator,0.886,"Кандидат на координирующий узел: 3+3 связей, 4 seed в путях, 1 соседних кластеров."
16,100000008489922100,distributor,0.8849,"Веерное распределение: 36 получателей, исходящий поток 3,789,900 ₸."
17,100000005933757100,distributor,0.8772,"Веерное распределение: 34 получателей, исходящий поток 3,002,628 ₸."
18,100000005074393100,coordinator,0.8764,"Кандидат на координирующий узел: 4+6 связей, 6 seed в путях, 1 соседних кластеров."
19,100000005704413100,distributor,0.875,"Веерное распределение: 32 получателей, исходящий поток 1,363,593 ₸."
20,100000000343175100,coordinator,0.8731,"Кандидат на координирующий узел: 8+31 связей, 4 seed в путях, 9 соседних кластеров."
21,100000004400305100,distributor,0.8705,"Веерное распределение: 82 получателей, исходящий поток 5,830,181 ₸."
22,100000007442518100,coordinator,0.8657,"Кандидат на координирующий узел: 5+9 связей, 4 seed в путях, 4 соседних кластеров."
23,100000003701161100,coordinator,0.8644,"Кандидат на координирующий узел: 4+3 связей, 3 seed в путях, 1 соседних кластеров."
24,100000007594394100,consolidator,0.8637,"Признаки консолидации: 6 плательщиков, входящий поток 395,385 ₸; доля крупнейшего 33%."
25,100000005339662100,coordinator,0.8622,"Кандидат на координирующий узел: 4+4 связей, 3 seed в путях, 2 соседних кластеров."
26,100000004403675100,coordinator,0.8579,"Кандидат на координирующий узел: 4+5 связей, 3 seed в путях, 4 соседних кластеров."
27,100000008710791100,distributor,0.8575,"Веерное распределение: 23 получателей, исходящий поток 5,521,511 ₸."
28,100000003796063100,distributor,0.8565,"Веерное распределение: 15 получателей, исходящий поток 959,150 ₸."
29,100000008461532100,coordinator,0.8562,"Кандидат на координирующий узел: 2+8 связей, 2 seed в путях, 1 соседних кластеров."
30,100000005578559100,distributor,0.8559,"Веерное распределение: 21 получателей, исходящий поток 893,164 ₸."
31,100000008547948100,distributor,0.8549,"Веерное распределение: 26 получателей, исходящий поток 5,185,600 ₸."
32,100000000661912100,coordinator,0.8544,"Кандидат на координирующий узел: 5+2 связей, 2 seed в путях, 1 соседних кластеров."
33,100000003635170100,coordinator,0.852,"Кандидат на координирующий узел: 3+4 связей, 5 seed в путях, 1 соседних кластеров."
34,100000008413748100,distributor,0.8509,"Веерное распределение: 18 получателей, исходящий поток 1,377,320 ₸."
35,100000003242289100,distributor,0.8426,"Веерное распределение: 23 получателей, исходящий поток 2,377,741 ₸."
36,100000004299488100,coordinator,0.8425,"Кандидат на координирующий узел: 6+2 связей, 3 seed в путях, 1 соседних кластеров."
37,100000002741024100,coordinator,0.8412,"Кандидат на координирующий узел: 5+6 связей, 3 seed в путях, 1 соседних кластеров."
38,100000001616816100,coordinator,0.8395,"Кандидат на координирующий узел: 5+3 связей, 7 seed в путях, 2 соседних кластеров."
39,100000006518161100,coordinator,0.8381,"Кандидат на координирующий узел: 3+2 связей, 3 seed в путях, 1 соседних кластеров."
40,100000006889963100,consolidator,0.8332,"Признаки консолидации: 4 плательщиков, входящий поток 1,431,000 ₸; доля крупнейшего 42%."
41,100000008686313100,coordinator,0.8329,"Кандидат на координирующий узел: 6+7 связей, 3 seed в путях, 4 соседних кластеров."
42,100000005782781100,coordinator,0.8317,"Кандидат на координирующий узел: 6+10 связей, 3 seed в путях, 5 соседних кластеров."
43,100000008730846100,coordinator,0.8311,"Кандидат на координирующий узел: 7+3 связей, 4 seed в путях, 4 соседних кластеров."
44,100000006274203100,coordinator,0.8305,"Кандидат на координирующий узел: 2+3 связей, 4 seed в путях, 1 соседних кластеров."
45,100000007908818100,coordinator,0.8295,"Кандидат на координирующий узел: 4+6 связей, 8 seed в путях, 2 соседних кластеров."
46,100000004486525100,coordinator,0.8279,"Кандидат на координирующий узел: 8+2 связей, 3 seed в путях, 2 соседних кластеров."
47,100000004759121100,coordinator,0.8261,"Кандидат на координирующий узел: 6+2 связей, 3 seed в путях, 1 соседних кластеров."
48,100000000332284100,coordinator,0.824,"Кандидат на координирующий узел: 10+3 связей, 3 seed в путях, 4 соседних кластеров."
49,100000004159526100,coordinator,0.8235,"Кандидат на координирующий узел: 4+4 связей, 3 seed в путях, 2 соседних кластеров."
50,100000002217161100,coordinator,0.8211,"Кандидат на координирующий узел: 2+7 связей, 2 seed в путях, 1 соседних кластеров."
