gid,role,role_score,cluster_id,priority_score,evidence,depth,is_seed,in_deg,out_deg,in_kzt,out_kzt,in_tx,out_tx,pagerank,pass_through,truncated_by_depth,seed_reach,rapid_share,in_degree,out_degree,unique_senders,unique_receivers,incoming_amount,outgoing_amount,incoming_tx_count,outgoing_tx_count,weighted_pagerank,betweenness_centrality,weak_component_id,weak_component_size,average_incoming_transaction,median_incoming_transaction,max_incoming_transaction,average_outgoing_transaction,median_outgoing_transaction,max_outgoing_transaction,active_days,first_transaction_date,last_transaction_date,daily_volume_std,daily_transaction_count_std,max_daily_count,mean_daily_count,transaction_frequency,burstiness,largest_sender_share,largest_receiver_share,sender_concentration,receiver_concentration,number_of_connected_clusters,cluster_bridge_score,flow_imbalance,seed_neighbors_count,relative_volume_percentile,relative_degree_percentile,relative_pagerank_percentile,short_delay_flow_patterns,same_day_in_out_patterns,similar_amount_rapid_share,pass_through_ratio,score_consolidator,score_distributor,score_transit,score_terminal,score_coordinator,anomaly_score
100000000343175100,coordinator,0.9571,9,0.8731,"Кандидат на координирующий узел: 8+31 связей, 4 seed в путях, 9 соседних кластеров.",0,True,8,31,178712.0,4000039.0,14,33,0.0009665588354103912,22.382598818210305,False,4,0.9285714285714286,8,31,8,31,178712.0,4000039.0,14,33,0.000713258197938405,0.00030275937498095893,0,1877,12765.142857142857,10000.0,31500.0,121213.30303030302,93555.0,300000.0,13,2026-07-01,2026-07-21,275975.01502084645,1.8045526471705546,7.0,3.6153846153846154,3.6153846153846154,0.4835164835164835,0.3290209946729934,0.15549848388978207,0.3290209946729934,0.15549848388978207,9,0.9975533807829181,0.9144663082342068,1,0.9506172839506173,0.9506172839506173,0.7777777777777778,1,0,0.07142857142857142,2.0,0.0,0.9335,0.0,0.0,0.9571,0.8321
100000000456947100,peripheral,0.8,72,0.0229,Seed: 0 исходящих связей; входящие за пределами сети могут отсутствовать.,0,True,0,0,0.0,0.0,0,0,0.00029330443339036096,,False,0,0.0,0,0,0,0,0.0,0.0,0,0,0.0002855692942172909,0.0,16,1,0.0,0.0,0.0,0.0,0.0,0.0,0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.2654320987654321,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0
100000000580561100,distributor,0.7936,43,0.6111,"Веерное распределение: 3 получателей, исходящий поток 1,488,077 ₸.",0,True,2,3,27980.0,1488077.0,3,13,0.0007157348002482521,53.183595425303785,False,0,1.0,2,3,2,3,27980.0,1488077.0,3,13,0.0008349888856684653,8.400678774845007e-06,5,6,9326.666666666666,9300.0,10180.0,114467.46153846153,20000.0,600000.0,12,2026-07-01,2026-07-29,208422.51442789708,0.4923659639173309,2.0,1.3333333333333333,1.3333333333333333,0.33333333333333337,0.6676197283774125,0.5342465477256889,0.6676197283774125,0.5342465477256889,0,0.0,0.9630884590750876,0,0.8518518518518519,0.7654320987654321,0.8271604938271605,1,0,0.3333333333333333,2.0,0.0,0.7936,0.0,0.0,0.0,0.7765
100000001415126100,peripheral,0.8,20,0.2457,Seed: 0 исходящих связей; входящие за пределами сети могут отсутствовать.,0,True,1,0,27000.0,0.0,1,0,0.00041041609255239265,0.0,False,2,0.0,1,0,1,0,27000.0,0.0,1,0,0.00040961890543080487,0.0,0,1877,27000.0,27000.0,27000.0,0.0,0.0,0.0,1,2026-07-02,2026-07-02,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,-1.0,0,0.30864197530864196,0.35185185185185186,0.6172839506172839,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1651
100000001429930100,peripheral,0.8,13,0.2315,Seed: 0 исходящих связей; входящие за пределами сети могут отсутствовать.,0,True,1,0,26000.0,0.0,1,0,0.0003459356151261221,0.0,False,2,0.0,1,0,1,0,26000.0,0.0,1,0,0.00035079789147407785,0.0,0,1877,26000.0,26000.0,26000.0,0.0,0.0,0.0,1,2026-07-23,2026-07-23,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,-1.0,0,0.2962962962962963,0.35185185185185186,0.5679012345679012,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.162
100000001616816100,coordinator,0.9243,6,0.8395,"Кандидат на координирующий узел: 5+3 связей, 7 seed в путях, 2 соседних кластеров.",0,True,5,3,176195.0,181326.0,12,10,0.0023983453154663784,1.0291211441868384,False,7,0.75,5,3,5,3,176195.0,181326.0,12,10,0.002434657190684458,2.5740204808548533e-05,0,1877,14682.916666666666,9395.0,53000.0,18132.6,9500.0,53000.0,12,2026-07-01,2026-07-22,27989.824376526336,0.8348471099367218,3.0,1.8333333333333333,1.8333333333333333,0.3888888888888889,0.39271829507080225,0.609399644838578,0.39271829507080225,0.609399644838578,2,0.9426156583629893,0.014351604521133024,0,0.6790123456790124,0.8765432098765432,1.0,3,3,0.25,1.0291211441868384,0.7874,0.0,0.0,0.0,0.9243,0.7593
100000001732159100,distributor,0.8574,10,0.7037,"Веерное распределение: 4 получателей, исходящий поток 1,505,966 ₸.",0,True,2,4,2378100.0,1505966.0,30,23,0.0008020505355035522,0.633264370716118,False,3,0.8666666666666667,2,4,2,4,2378100.0,1505966.0,30,23,0.0010950567872996843,5.565449688334818e-06,0,1877,79270.0,32550.0,318000.0,65476.782608695656,30000.0,315000.0,18,2026-07-01,2026-07-21,273506.7249929681,1.924217861647939,7.0,2.9444444444444446,2.9444444444444446,0.5793650793650793,0.960052142466675,0.3087719111852459,0.960052142466675,0.3087719111852459,0,0.0,-0.2245414985224247,2,0.9382716049382716,0.808641975308642,0.8765432098765432,6,4,0.2,0.633264370716118,0.0,0.8574,0.0,0.0,0.7058,0.8145
100000002527114100,distributor,0.9882,1,0.6947,"Веерное распределение: 111 получателей, исходящий поток 3,289,249 ₸.",0,True,3,111,129000.0,3289249.0,4,113,0.0008156930439200684,25.49805426356589,False,0,1.0,3,111,3,111,129000.0,3289249.0,4,113,0.0008111056953132627,0.00030609973285841496,1,270,32250.0,27500.0,65000.0,29108.398230088496,25264.0,76903.0,25,2026-07-01,2026-07-31,88671.91102151044,2.68824602048746,11.0,4.68,4.68,0.5745454545454546,0.6976744186046512,0.023679569409308935,0.6976744186046512,0.023679569409308935,0,0.0,0.9245227600446896,0,0.9259259259259259,1.0,0.8024691358024691,2,2,0.5,2.0,0.0,0.9882,0.0,0.0,0.0,0.9059
100000002916006100,peripheral,0.8,20,0.0888,Seed: 1 исходящих связей; входящие за пределами сети могут отсутствовать.,0,True,0,1,0.0,32000.0,0,1,0.00029330443339036096,,False,0,0.0,0,1,0,1,0.0,32000.0,0,1,0.0002855692942172909,0.0,0,1877,0.0,0.0,0.0,32000.0,32000.0,32000.0,1,2026-07-06,2026-07-06,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,1,0.345679012345679,0.35185185185185186,0.2654320987654321,0,0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1744
100000003016635100,distributor,0.9658,5,0.9206,"Веерное распределение: 73 получателей, исходящий поток 9,414,081 ₸.",0,True,8,73,586981.0,9414081.0,36,151,0.0013030152980983355,16.038135817002594,False,3,1.0,8,73,8,73,586981.0,9414081.0,36,151,0.0011896363343877673,0.0020078016133360434,0,1877,16305.027777777777,6150.0,87000.0,62344.90728476821,30550.0,495311.0,21,2026-07-03,2026-07-23,258774.66024564236,2.527939119218695,13.0,8.904761904761905,8.904761904761905,0.315018315018315,0.6686758174455392,0.09236164422209667,0.6686758174455392,0.09236164422209667,14,1.0,0.8826162661525346,0,0.9876543209876543,0.9753086419753086,0.8888888888888888,30,15,0.8333333333333334,2.0,0.0,0.9658,0.0,0.0,0.957,0.9648
